generation,evaluation_cost
0,23176990.76399463
0,22933472.449633077
0,23103408.16434521
0,24009096.252800863
0,23860346.103754874
0,23090525.525973327
0,23350677.690844044
0,22858553.443305098
0,23460016.524701104
0,23598867.563043505
0,23427400.83058135
0,23090525.525973327
0,23710790.66293707
0,23349016.560438983
0,23316804.779457934
0,23350677.690844044
0,23258754.93077036
0,23362111.964157403
1,23103408.16434521
1,22858553.443305098
1,23206917.57901718
1,23377516.744069368
1,24091472.20106056
1,22974345.95927599
1,23505517.199604336
1,23090525.525973327
1,22963994.645490754
1,23090525.525973327
1,23176990.76399463
1,23325693.592608716
1,22648721.140873272
1,24252290.506956305
1,23090525.525973327
1,22600944.981654942
1,23055304.78057761
1,22858553.443305098
2,22972255.517308205
2,22600944.981654942
2,23146921.439096164
2,22710107.223134443
2,22858553.443305098
2,22648721.140873272
2,22858553.443305098
2,24276927.799251936
2,22657502.974942453
2,23097838.10628367
2,24259330.690907303
2,23115809.835742835
2,22858553.443305098
2,22648721.140873272
2,23155467.73025688
2,22648721.140873272
2,23653130.54089992
2,22844083.40784244
3,22648721.140873272
3,22648721.140873272
3,22657502.974942453
3,22648721.140873272
3,22648721.140873272
3,22648721.140873272
3,22600944.981654942
3,22652172.832195833
3,22858553.443305098
3,22600944.981654942
3,22648721.140873272
3,22530135.491715256
3,22913772.2062129
3,22679940.341082204
3,23586781.077081695
3,23893842.728714403
3,22796028.875144057
3,23186923.56898719
4,22431201.24433668
4,22530135.491715256
4,22674051.136106096
4,22868413.820370894
4,23202110.6704009
4,22648721.140873272
4,22600944.981654942
4,22610399.074065637
4,22600944.981654942
4,22530135.491715256
4,22611149.670906525
4,23533193.433013692
4,22600944.981654942
4,22911207.465853315
4,22761303.64746474
4,22648721.140873272
4,22714091.216613956
4,22652172.832195833
5,22600944.981654942
5,22530135.491715256
5,23349363.45607261
5,22621746.62308192
5,22678739.608902145
5,22530135.491715256
5,22600944.981654942
5,22623567.613513775
5,22646243.192008864
5,22509227.8853197
5,22530135.491715256
5,22530135.491715256
5,24219927.98637692
5,22530135.491715256
5,22687390.177007508
5,22488040.804575123
5,22530135.491715256
5,22530135.491715256
6,22727516.292726226
6,22530135.491715256
6,22526807.989846323
6,22368982.138780814
6,22431201.24433668
6,22431201.24433668
6,22555052.356585924
6,22479608.095276427
6,22546534.163433682
6,22530135.491715256
6,22530135.491715256
6,22554096.166943703
6,22440177.063246947
6,22443975.10904249
6,22567202.974191055
6,22431201.24433668
6,22530135.491715256
6,22530135.491715256
7,22431201.24433668
7,22431201.24433668
7,22431201.24433668
7,22431201.24433668
7,23881183.60116307
7,22558906.041382965
7,22753572.061453797
7,22446701.77712257
7,22431201.24433668
7,22431201.24433668
7,22431201.24433668
7,22457298.490499415
7,22725550.47459743
7,22431201.24433668
7,22368372.33484835
7,22457958.216635466
7,22368982.138780814
7,22565122.872168764
8,22431201.24433668
8,22452661.52941849
8,22431201.24433668
8,22676306.61489778
8,22368982.138780814
8,22530123.385520294
8,22431201.24433668
8,22734279.496968035
8,22525467.414094828
8,22368982.138780814
8,23087879.80484822
8,22431201.24433668
8,22378411.94945612
8,22899477.38484815
8,22646773.42795592
8,22368982.138780814
8,22368982.138780814
8,22702149.0181147
9,22368982.138780814
9,22368982.138780814
9,22368982.138780814
9,22657927.62619495
9,22431201.24433668
9,22368372.33484835
9,23039944.55830972
9,22457251.053369705
9,22368982.138780814
9,22368982.138780814
9,22368982.138780814
9,22463977.188344467
9,22736499.311481323
9,22339305.23882167
9,22241811.772527426
9,23073871.61776905
9,22368982.138780814
9,22368982.138780814
10,22336258.35274568
10,22368982.138780814
10,22095077.57529568
10,22254758.41222636
10,22185016.49153285
10,22368372.33484835
10,22366299.167866684
10,22289924.255140167
10,22470464.08866587
10,22368982.138780814
