generation,best_cost
0,150181379.22370395
1,150181379.22370395
2,150181379.22370395
3,150181379.22370395
4,150181379.22370395
5,150181379.22370395
6,150135058.27576643
7,149815738.35185528
8,149815738.35185528
9,149787597.60437056
10,149512851.25682002
11,149512851.25682002
12,149494983.92048484
13,149266024.42452383
14,149185619.41124967
15,148946463.7425288
16,148311711.30895147
17,148212277.0568411
18,148125756.265666
19,147738104.21765885
20,147738104.21765885
21,147122009.26685363
22,147122009.26685363
23,147007125.91566658
24,146872810.24442753
