generation,best_cost
0,108.86095572696485
1,107.66106709127504
2,106.39818027174569
3,105.32522962408156
4,105.32522962408156
5,104.4242882928695
6,103.99282149100716
7,102.98549840902578
8,102.1073255885916
9,101.63913229126929
10,101.11984124734012
11,100.64201053822623
12,100.57984557029127
13,100.31959648558407
14,100.30799539354786
15,100.23075872387827
16,100.163854024244
17,100.07226874653026
18,100.07226874653026
19,100.07226874653026
20,100.07226874653026
21,100.07226874653026
22,100.07226874653026
23,100.07226874653026
24,100.07226874653026
25,100.07226874653026
26,100.07226874653026
27,100.07226874653026
28,100.07226874653026
29,100.07226874653026
30,100.07226874653026
31,100.07226874653026
32,100.07226874653026
33,100.07226874653026
34,100.07226874653026
35,100.07226874653026
36,100.07226874653026
37,100.07226874653026
38,100.07226874653026
39,100.07226874653026
40,100.07226874653026
41,100.07226874653026
42,100.07226874653026
43,100.07226874653026
44,100.07226874653026
45,100.07226874653026
46,100.07226874653026
47,100.07226874653026
48,100.07226874653026
49,100.07226874653026
